基因索引,注意力得分,排名
0,34.16694,1
1,5.228868,2
2,3.87979,3
3,3.4459088,4
4,3.2079163,5
5,2.7821856,6
8,2.4056168,7
21,2.1360767,8
7,2.0834749,9
11,1.9876965,10
6,1.8851088,11
32,1.818875,12
27,1.8184559,13
15,1.7910354,14
9,1.7859529,15
18,1.7621187,16
42,1.7359598,17
31,1.7331934,18
14,1.7192446,19
46,1.7155812,20
19,1.6932658,21
39,1.6869329,22
47,1.6766027,23
24,1.6682112,24
13,1.6540624,25
10,1.647387,26
16,1.6398671,27
45,1.6255611,28
30,1.6221424,29
33,1.6103963,30
20,1.6087394,31
43,1.5816884,32
17,1.5782949,33
35,1.5781437,34
12,1.5767031,35
40,1.5717561,36
36,1.5669857,37
22,1.5641153,38
29,1.5548468,39
44,1.5535764,40
48,1.5408539,41
23,1.5354738,42
37,1.5341679,43
49,1.5337706,44
41,1.5328302,45
25,1.5213825,46
26,1.5207771,47
28,1.515428,48
34,1.5043082,49
38,1.5036817,50
